code,question,ans1,pts1,ans2,pts2,ans3,pts3,ans4,pts4,ans5,pts5
code,question,ans1,pts1,ans2,pts2,ans3,pts3,ans4,pts4,ans5,pts5
A100B,"Par une belle journée d'été, la température maximale sera atteinte à (heure solaire en tenant compte des 2 heures d'avance sur nos montres) :",12 h,-4,14 h,-2,15 h,6,,,,
A101M,Les phénomènes stoppant le développement des ascendances en altitude sont en général :,la base des cumulus,-6,une couche d'inversion,2,l'équilibrage de la température de l'ascendance avec celle de l'air ambiant,2,l'arrivée d'un front chaud,2,,
A102B,Indiquez les facteurs favorisant la convection :,un vent très fort,-6,un vent de force moyenne,3,un réchauffement important au niveau du sol,3,pas de vent du tout,0,,
A103B,Une bulle d'air s'élève si sa température par rapport à l'air ambiant est :,inférieure,-6,supérieure,6,égale,-6,,,,
A104B,Les zones favorables au déclenchement de la convection sont en général :,les zones urbanisées,2,les forêts,-6,les zones rocailleuses,2,les zones sèches,2,,
A105B,Le déclenchement des thermiques :,renforce les brises de pente et de vallée,4,permet d'exploiter la brise de pente loin du relief,-6,rend la brise de pente irrégulière,2,,,,
A106B,Les ascendances thermiques :,peuvent se présenter sous forme de bulles ou de colonnes,2,montent toujours verticalement,-6,se déclenchent souvent sur des sols contrastés,2,sont en général entourées de descendances,2,,
A107B,Un thermique peut :,être matérialisé par un cumulus bourgeonnant,2,être matérialisé par un voile de stratus,-6,être dévié par le vent,2,ne donner lieu à aucune matérialisation,2,,
A108B,Un thermique pur ou bleu :,permet un gain minimum de 1000 m,-6,est dangereux pour nos ailes,-6,n'est pas coiffé par un cumulus,6,ne se forme que dans une couche d'air à tendance stable,-6,,
A109B,La restitution est un phénomène :,d'inversion des brises de pente le soir,-6,d'inversion des brises de vallée le soir,-6,"d'ascendances plutôt douces, le soir, sur des zones généralement peu propices pendant la journée",6,,,,
A10V,"Stratus, stratocumulus et cumulus appartiennent généralement :",à l'étage inférieur,6,à l'étage moyen,-6,à l'étage supérieur,-6,,,,
A110B,Le phénomène de restitution se rencontre en général :,le soir,6,le matin au centre de la vallée,-6,au centre des vallées toute la journée,-6,,,,
A11V,Cumulonimbus et nimbostratus appartiennent :,à l'étage inférieur seulement,-6,à l'étage moyen seulement,-6,à l'étage supérieur seulement,-6,à plusieurs étages à la fois,6,,
A12B,Un nuage orographique :,est fixe par rapport au sol,3,indique une absence de vent,-6,est dû à une ascendance thermique,-6,est dû à une ascendance dynamique,3,,
